Type of crossover,name,fitness 
Elitism Order Crossover,4;3;6;0;2;5;1;7;,6
Elitism Order Crossover,4;3;6;0;2;5;1;7;,6
Elitism Order Crossover,5;3;6;1;2;4;7;0;,4
Elitism Order Crossover,6;3;5;0;2;4;1;7;,4
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;6;2;0;4;1;7;,6
Elitism Order Crossover,5;3;6;0;1;4;2;7;,6
Elitism Order Crossover,5;3;0;6;2;1;4;7;,6
Elitism Order Crossover,4;3;6;0;1;7;2;5;,12
Elitism Order Crossover,5;3;1;4;0;6;7;2;,6
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;1;0;7;6;4;2;,4
Elitism Cycle Crossover,5;3;2;0;6;1;4;7;,8
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;0;6;7;1;4;2;,6
Elitism Cycle Crossover,4;3;6;0;7;1;5;2;,6
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;1;7;0;4;2;,8
Elitism Cycle Crossover,5;3;6;1;0;7;4;2;,8
Elitism Cycle Crossover,5;3;0;6;7;1;4;2;,6
Elitism Cycle Crossover,5;3;6;0;7;4;1;2;,4
Elitism Cycle Crossover,5;3;2;0;7;1;4;6;,2
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,0;3;6;5;7;1;4;2;,4
Elitism Cycle Crossover,5;6;3;0;7;1;4;2;,4
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;2;7;1;4;0;,2
Elitism Cycle Crossover,1;3;6;0;7;5;4;2;,2
Elitism Cycle Crossover,7;3;6;0;5;1;4;2;,2
Elitism Cycle Crossover,3;5;6;0;7;1;4;2;,8
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,2;3;6;0;7;1;4;5;,4
Elitism Cycle Crossover,2;3;6;0;7;1;4;5;,4
Elitism Cycle Crossover,0;3;6;7;5;1;4;2;,6
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,4;3;6;0;7;1;5;2;,6
Elitism Cycle Crossover,3;4;6;0;7;1;5;2;,8
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;4;6;0;7;1;3;2;,8
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;6;3;0;7;1;4;2;,4
Elitism Cycle Crossover,5;3;4;0;7;1;6;2;,4
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Cycle Crossover,5;3;6;0;7;1;4;2;,0
